iter	Passed	Remaining
0	219	21779
1	256	12562
2	290	9407
3	326	7841
4	364	6919
5	394	6180
6	427	5684
7	460	5300
8	489	4949
9	516	4644
10	542	4391
11	569	4176
12	595	3986
13	622	3824
14	684	3878
15	748	3928
16	793	3872
17	828	3772
18	856	3651
19	882	3530
20	910	3425
21	938	3325
22	967	3239
23	995	3151
24	1022	3067
25	1049	2987
26	1077	2914
27	1110	2854
28	1139	2790
29	1172	2736
30	1206	2684
31	1239	2633
32	1268	2575
33	1296	2516
34	1323	2458
35	1352	2405
36	1379	2349
37	1409	2299
38	1441	2254
39	1470	2205
40	1499	2157
41	1528	2111
42	1559	2067
43	1587	2020
44	1617	1977
45	1645	1932
46	1671	1884
47	1702	1844
48	1730	1801
49	1757	1757
50	1789	1719
51	1818	1678
52	1844	1635
53	1871	1594
54	1897	1552
55	1924	1512
56	1954	1474
57	2022	1464
58	2080	1445
59	2115	1410
60	2143	1370
61	2170	1330
62	2195	1289
63	2226	1252
64	2256	1215
65	2284	1176
66	2312	1139
67	2342	1102
68	2374	1066
69	2410	1032
70	2438	996
71	2465	958
72	2493	922
73	2523	886
74	2551	850
75	2578	814
76	2606	778
77	2632	742
78	2660	707
79	2688	672
80	2714	636
81	2745	602
82	2773	568
83	2801	533
84	2827	499
85	2853	464
86	2879	430
87	2907	396
88	2934	362
89	2965	329
90	2995	296
91	3021	262
92	3048	229
93	3076	196
94	3104	163
95	3130	130
96	3159	97
97	3186	65
98	3215	32
99	3244	0
